,text,circumstantial-information,electricity,gasoline,social-report,twitter-account,water,gas,pred_circumstantial-information,pred_electricity,pred_gasoline,pred_social-report,pred_twitter-account,pred_water,pred_gas,assert_circumstantial-information,assert_electricity,assert_gasoline,assert_social-report,assert_twitter-account,assert_water,assert_gas,model_name,model_class_name
0,"#reporte  #23julio  atentos  a  la  informacion  aportada  por  nuestros  vecinos      a  las  8  50  am    #sinluz  santa  paula    el  cafetal    los  guayabitos    lomas  de  prados  del  este  y  parte  de  manzanares    la  alcaldia  activada  con  especial  atencion  en  esos  sectores  y  reportando  a    @corpoelecinfo
",1,1,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
1,"#hipismoaqui  esta  nuestra  informacion  gratis  para  esta  semana!!para  los  hipodromos  venezolanos  #larinconada#valencia#losvamosasacar#sinluz    
",0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
2,"alguien  vio  la  pelicula  ""en  lo  profundo  del  bosque""    esta  pasando    #apocalipsis  #sinluz
",0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
3,"y  continuamos  ""disfrutando""  de  los  regalos  navidegnos  de  @corpoelecinfo  y  @corpoeleclara  mas  raciones  de  navidades  #sinluz  hoy  #25dic  de  verdad  que  la  supieron  hacer    felicitaciones!  nunca  nos  defraudan      
",1,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
4,"bueno  y  se  fue  la  luz    tenia  dias  que  no  se  iba  de  dia  si  no  en  la  noche  y  cuando  es  asi  son  muchas  horas  sin  el  servicio    hasta  cuando  sera  esta  pesadilla#sinluz#apagon  #barinas
",1,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
5,"valera  estado  trujillo  ya  cuenta  con  servicio  electrico    #sinluz  falta  el  agua    el  gas    la  gasolina    la  seguridad  la  salud    educacion    transporte    pero  por  algo  se  empieza      
",1,1,1,1,0,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,1,1,0,0,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
6,"pzo  #singasolinamcb  #singasolina  cbv  #singasolina  ptl  #singasolina#ccs  #congasolina    que  cosas  no
",1,0,1,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
7,"@corpoeleczulia_  @corpoelecinfo  avenida  16  con  calle  84    #sinluz  desde  las  2pm  y  previamente  de  2am  a  8am  
",1,0,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
8,"sigo  gastando  mi  bateria  leyendo  tweets  #sinluz
",0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
9,"@prensacorpoelec  felices  que  desgraciados  el  sector  romulo    betancourt    en  #maturin  #sinluz    desde  el  dia  14  de  diciembre    aun  esperan  por  un  transformador    qu8en  puede  tener  feliz  navidad  asi  @yelitzepsuv_
",1,1,0,1,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
